Read_ID,Length,GC_Content,Average_Quality
SRR390728.264,36,33.33333333333333,24.805555555555557
SRR390728.265,36,33.33333333333333,24.333333333333332
SRR390728.266,36,27.77777777777778,24.75
SRR390728.267,36,22.22222222222222,24.305555555555557
SRR390728.268,36,30.555555555555557,21.88888888888889
SRR390728.269,36,25.0,24.555555555555557
SRR390728.270,36,25.0,24.916666666666668
SRR390728.271,36,33.33333333333333,23.583333333333332
SRR390728.272,36,25.0,24.72222222222222
SRR390728.273,36,19.444444444444446,24.77777777777778
SRR390728.274,36,22.22222222222222,24.88888888888889
SRR390728.275,36,30.555555555555557,24.88888888888889
SRR390728.276,36,27.77777777777778,23.88888888888889
SRR390728.277,36,27.77777777777778,24.944444444444443
SRR390728.278,36,33.33333333333333,24.25
SRR390728.279,36,33.33333333333333,24.916666666666668
SRR390728.280,36,44.44444444444444,24.77777777777778
SRR390728.281,36,47.22222222222222,23.38888888888889
SRR390728.282,36,36.11111111111111,24.916666666666668
SRR390728.283,36,33.33333333333333,24.63888888888889
SRR390728.284,36,44.44444444444444,24.86111111111111
SRR390728.285,36,55.55555555555556,23.27777777777778
SRR390728.286,36,36.11111111111111,22.555555555555557
SRR390728.287,36,44.44444444444444,24.88888888888889
SRR390728.288,36,33.33333333333333,24.11111111111111
SRR390728.289,36,44.44444444444444,22.52777777777778
SRR390728.290,36,16.666666666666664,24.25
SRR390728.291,36,22.22222222222222,23.25
SRR390728.292,36,19.444444444444446,22.47222222222222
SRR390728.293,36,27.77777777777778,24.27777777777778
SRR390728.294,36,30.555555555555557,24.916666666666668
SRR390728.295,36,22.22222222222222,24.666666666666668
SRR390728.296,36,38.88888888888889,24.583333333333332
SRR390728.297,36,25.0,24.666666666666668
SRR390728.298,36,22.22222222222222,24.944444444444443
SRR390728.299,36,25.0,24.02777777777778
SRR390728.300,36,19.444444444444446,24.02777777777778
SRR390728.301,36,33.33333333333333,24.583333333333332
SRR390728.302,36,38.88888888888889,24.47222222222222
SRR390728.303,36,27.77777777777778,25.0
SRR390728.304,36,33.33333333333333,24.38888888888889
SRR390728.305,36,47.22222222222222,24.666666666666668
SRR390728.306,36,36.11111111111111,23.916666666666668
